Rank,Country,Population
1,Indien,1 425 775 850
2,Kina[a],1 411 750 000
3,USA,331 449 281
4,Indonesien,270 203 917
5,Pakistan,220 892 000
6,Brasilien,211 755 692
7,Nigeria,206 140 000
8,Bangladesh,164 689 000
9,Ryssland[b],146 171 015
10,Mexiko,126 014 024
11,Japan,125 360 000
12,Etiopien,114 964 000
13,Filippinerna,109 581 000
14,Egypten,101 853 508
15,Vietnam,97 580 000
16,Kongo-Kinshasa,89 561 000
17,Turkiet,84 680 273
18,Iran,83 993 000
19,Tyskland,83 695 430
20,Thailand,69 800 000
21,Frankrike[c],67 413 000
22,Storbritannien[d],66 796 800
23,Tanzania,59 734 000
24,Italien,59 641 488
25,Sydafrika,59 622 350
26,Myanmar,53 371 000
27,Sydkorea,51 732 586
28,Colombia,49 784 783
29,Kenya,49 700 000
30,Spanien,46 549 045
31,Argentina,44 044 811
32,Uganda,42 863 000
33,Ukraina[e],42 501 767
34,Algeriet,41 318 000
35,Sudan,40 533 000
36,Polen,38 424 000
37,Irak,38 275 000
38,Kanada,36 503 097
39,Marocko[f],35 740 000
40,Afghanistan,35 530 000
41,Saudiarabien,32 612 641
42,Malaysia,32 399 555
43,Peru,32 166 000
44,Uzbekistan,32 120 500
45,Venezuela,31 977 000
46,Angola,29 784 000
47,Moçambique,29 669 000
48,Nepal,29 218 867
49,Ghana,28 834 000
50,Jemen,28 250 000
51,Madagaskar,25 571 000
52,Nordkorea,25 491 000
53,Australien[g],24 702 900
54,Elfenbenskusten,24 571 044
55,Taiwan[h],23 547 448
56,Kamerun,23 248 044
57,Sri Lanka,21 670 000
58,Niger,21 466 863
59,Burkina Faso,20 244 080
60,Rumänien,19 630 000
61,Malawi,18 622 000
62,Syrien,18 270 000
63,Mali,18 542 000
64,Kazakstan,18 204 000
65,Chile,17 574 003
66,Nederländerna[i],17 202 437
67,Zambia,17 094 000
68,Guatemala,16 914 000
69,Ecuador,16 625 000
70,Zimbabwe,16 530 000
71,Kambodja,16 005 000
72,Senegal,15 726 037
73,Tchad,15 353 000
74,Somalia,15 182 000
75,Sydsudan,12 576 000
76,Rwanda,12 089 721
77,Guinea,11 883 516
78,Tunisien,11 532 000
79,Benin,11 362 269
80,Belgien,11 322 088
81,Kuba,11 239 224
82,Bolivia,11 052 000
83,Haiti,10 981 000
84,Jordanien,10 878 904
85,Burundi,10 681 186
86,Sverige,10 551 707
87,Tjeckien,10 516 707
88,Grekland,10 432 481
89,Portugal,10 341 330
90,Dominikanska republiken,10 226 149
91,Azerbajdzjan,9 898 085
92,Ungern,9 771 000
93,Belarus,9 484 300
94,Förenade arabemiraten,9 366 829
95,Honduras,9 265 000
96,Israel,9 190 000
